"","country","iso3","Year","Month","date","cases","source"
"3975","St. Vincent & Grenadines","VCT",2026,3,2026-03-01,0,"WHO"
"3976","St. Vincent & Grenadines","VCT",2026,4,2026-04-01,1,"PAHO"
"3977","St. Vincent & Grenadines","VCT",2026,5,2026-05-01,0,"WHO"
"3978","St. Vincent & Grenadines","VCT",2026,6,2026-06-01,NA,"PAHO"
"3979","St. Vincent & Grenadines","VCT",2026,7,2026-07-01,NA,NA
"3980","St. Vincent & Grenadines","VCT",2026,8,2026-08-01,NA,NA
"3981","St. Vincent & Grenadines","VCT",2026,9,2026-09-01,NA,NA
"3982","St. Vincent & Grenadines","VCT",2026,10,2026-10-01,NA,NA
"3983","St. Vincent & Grenadines","VCT",2026,11,2026-11-01,NA,NA
"3984","St. Vincent & Grenadines","VCT",2026,12,2026-12-01,NA,NA
"3985","Sudan","SDN",2025,1,2025-01-01,822,"WHO"
"3986","Sudan","SDN",2025,2,2025-02-01,816,"WHO"
"3987","Sudan","SDN",2025,3,2025-03-01,669,"WHO"
"3988","Sudan","SDN",2025,4,2025-04-01,838,"WHO"
"3989","Sudan","SDN",2025,5,2025-05-01,853,"WHO"
"3990","Sudan","SDN",2025,6,2025-06-01,335,"WHO"
"3991","Sudan","SDN",2025,7,2025-07-01,741,"WHO"
"3992","Sudan","SDN",2025,8,2025-08-01,3791,"WHO"
"3993","Sudan","SDN",2025,9,2025-09-01,12511,"WHO"
"3994","Sudan","SDN",2025,10,2025-10-01,18678,"WHO"
"3995","Sudan","SDN",2025,11,2025-11-01,6632,"WHO"
"3996","Sudan","SDN",2025,12,2025-12-01,2006,"WHO"
"3997","Sudan","SDN",2026,1,2026-01-01,NA,NA
"3998","Sudan","SDN",2026,2,2026-02-01,NA,NA
"3999","Sudan","SDN",2026,3,2026-03-01,NA,NA
"4000","Sudan","SDN",2026,4,2026-04-01,NA,NA
"4001","Sudan","SDN",2026,5,2026-05-01,NA,NA
"4002","Sudan","SDN",2026,6,2026-06-01,NA,NA
"4003","Sudan","SDN",2026,7,2026-07-01,NA,NA
"4004","Sudan","SDN",2026,8,2026-08-01,NA,NA
"4005","Sudan","SDN",2026,9,2026-09-01,NA,NA
"4006","Sudan","SDN",2026,10,2026-10-01,NA,NA
"4007","Sudan","SDN",2026,11,2026-11-01,NA,NA
"4008","Sudan","SDN",2026,12,2026-12-01,NA,NA
"4009","Suriname","SUR",2025,1,2025-01-01,75,"PAHO"
"4010","Suriname","SUR",2025,2,2025-02-01,162,"PAHO"
"4011","Suriname","SUR",2025,3,2025-03-01,289,"PAHO"
"4012","Suriname","SUR",2025,4,2025-04-01,98,"PAHO"
"4013","Suriname","SUR",2025,5,2025-05-01,204,"PAHO"
"4014","Suriname","SUR",2025,6,2025-06-01,119,"PAHO"
"4015","Suriname","SUR",2025,7,2025-07-01,115,"PAHO"
"4016","Suriname","SUR",2025,8,2025-08-01,133,"PAHO"
"4017","Suriname","SUR",2025,9,2025-09-01,67,"PAHO"
"4018","Suriname","SUR",2025,10,2025-10-01,19,"PAHO"
"4019","Suriname","SUR",2025,11,2025-11-01,20,"PAHO"
"4020","Suriname","SUR",2025,12,2025-12-01,12,"PAHO"
"4021","Suriname","SUR",2026,1,2026-01-01,109,"PAHO"
